kind,concept,relation,score,left,right,replacement_risk,suggested_action,decision,hardcoded_reference_status,evidence
"item","silver_block","SIMILAR_NAME","100","eidolon_repraised:silver_block","occultism:silver_block","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: almostunified:hide, c:storage_blocks, c:storage_blocks/silver, malum:prospectors_treasure, werewolves:type/silver"
"item","silver_block","SIMILAR_NAME","100","eidolon_repraised:silver_block","werewolves:silver_block","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: almostunified:hide, c:storage_blocks, c:storage_blocks/silver, malum:prospectors_treasure, werewolves:type/silver"
"item","silver_boots","SIMILAR_NAME","100","eidolon_repraised:silver_boots","werewolves:silver_boots","MEDIUM","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: c:armors, c:enchantables, enchanted:armors, minecraft:enchantable/armor, minecraft:enchantable/durability, minecraft:enchantable/equippable"
"item","silver_chestplate","SIMILAR_NAME","100","eidolon_repraised:silver_chestplate","werewolves:silver_chestplate","MEDIUM","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: c:armors, c:enchantables, enchanted:armors, minecraft:chest_armor, minecraft:enchantable/armor, minecraft:enchantable/chest_armor"
"item","silver_helmet","SIMILAR_NAME","100","eidolon_repraised:silver_helmet","werewolves:silver_helmet","MEDIUM","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: c:armors, c:enchantables, enchanted:armors, minecraft:enchantable/armor, minecraft:enchantable/durability, minecraft:enchantable/equippable"
"item","silver_hoe","SIMILAR_NAME","100","eidolon_repraised:silver_hoe","werewolves:silver_hoe","MEDIUM","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: betterarcheology:tunneling_items, c:enchantables, c:tools, enchanted:tool_poppet_whitelist, immersiveengineering:toolbox/tools, minecraft:breaks_decorated_pots"
"item","silver_ingot","SIMILAR_NAME","100","eidolon_repraised:silver_ingot","occultism:silver_ingot","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: almostunified:hide, c:ingots, c:ingots/silver, malum:prospectors_treasure, werewolves:type/silver"
"item","silver_ingot","SIMILAR_NAME","100","eidolon_repraised:silver_ingot","werewolves:silver_ingot","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: almostunified:hide, c:ingots, c:ingots/silver, malum:prospectors_treasure, werewolves:type/silver"
"item","silver_leggings","SIMILAR_NAME","100","eidolon_repraised:silver_leggings","werewolves:silver_leggings","MEDIUM","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: c:armors, c:enchantables, enchanted:armors, minecraft:enchantable/armor, minecraft:enchantable/durability, minecraft:enchantable/equippable"
"item","silver_nugget","SIMILAR_NAME","100","eidolon_repraised:silver_nugget","occultism:silver_nugget","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: almostunified:hide, c:nuggets, c:nuggets/silver, malum:prospectors_treasure, werewolves:type/silver"
"item","silver_nugget","SIMILAR_NAME","100","eidolon_repraised:silver_nugget","werewolves:silver_nugget","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: almostunified:hide, c:nuggets, c:nuggets/silver, malum:prospectors_treasure, werewolves:type/silver"
"item","silver_ore","SIMILAR_NAME","100","eidolon_repraised:silver_ore","occultism:silver_ore","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: almostunified:hide, c:ores, c:ores/silver, c:ores_in_ground/stone, enchanted:witch_oven_blacklist, malum:prospectors_treasure"
"item","silver_ore","SIMILAR_NAME","100","eidolon_repraised:silver_ore","werewolves:silver_ore","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: almostunified:hide, c:ores, c:ores/silver, enchanted:witch_oven_blacklist, malum:prospectors_treasure"
"item","silver_pickaxe","SIMILAR_NAME","100","eidolon_repraised:silver_pickaxe","werewolves:silver_pickaxe","MEDIUM","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: betterarcheology:tunneling_items, c:enchantables, c:tools, enchanted:tool_poppet_whitelist, immersiveengineering:toolbox/tools, minecraft:breaks_decorated_pots"
"item","silver_shovel","SIMILAR_NAME","100","eidolon_repraised:silver_shovel","werewolves:silver_shovel","MEDIUM","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: betterarcheology:tunneling_items, c:enchantables, c:tools, enchanted:tool_poppet_whitelist, immersiveengineering:toolbox/tools, minecraft:breaks_decorated_pots"
"item","silver_sword","SIMILAR_NAME","100","eidolon_repraised:silver_sword","fangs_n_claws:silver_sword","MEDIUM","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: c:enchantables, c:tools, enchanted:tool_poppet_whitelist, immersiveengineering:toolbox/tools, lodestone:enchantable/melee, lodestone:enchantable/weapon"
"item","silver_sword","SIMILAR_NAME","100","eidolon_repraised:silver_sword","werewolves:silver_sword","MEDIUM","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: c:enchantables, c:tools, cnc:headhunter_enchantable, enchanted:tool_poppet_whitelist, immersiveengineering:toolbox/tools, lodestone:enchantable/melee"
"item","soul_shard","SIMILAR_NAME","100","eidolon_repraised:soul_shard","occultism:soul_shard","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","stone_altar","SIMILAR_NAME","100","eidolon_repraised:stone_altar","werewolves:stone_altar","MEDIUM","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","tallow","SIMILAR_NAME","100","eidolon_repraised:tallow","occultism:tallow","MEDIUM","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: c:tallow"
"item","","SIMILAR_NAME","100","eidolon_repraised:top_hat","malum:tophat","MEDIUM","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path"
"item","altar","SIMILAR_NAME","100","enchanted:altar","graveyard:altar","MEDIUM","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same generic semantic base; equivalence is not implied|same normalized registry path|same path tokens in different order/separators"
"item","earmuffs","SIMILAR_NAME","100","enchanted:earmuffs","immersiveengineering:earmuffs","MEDIUM","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","garlic","SIMILAR_NAME","100","enchanted:garlic","vampirism:garlic","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","mandrake","SIMILAR_NAME","100","enchanted:mandrake_root","feywild:mandrake_root","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","poppet","SIMILAR_NAME","100","enchanted:poppet","malum:poppet","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same generic semantic base; equivalence is not implied|same normalized registry path|same path tokens in different order/separators"
"item","imp_spawn_egg","SIMILAR_NAME","100","fangs_n_claws:imp_spawn_egg","mythsandlegends:imp_spawn_egg","LOW","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","silver_sword","SIMILAR_NAME","100","fangs_n_claws:silver_sword","werewolves:silver_sword","MEDIUM","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: c:enchantables, c:tools, c:tools/melee_weapon, enchanted:tool_poppet_whitelist, immersiveengineering:toolbox/tools, lodestone:enchantable/melee"
"item","geas","SIMILAR_NAME","100","gaze:geas","malum:geas","LOW","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","blueprint","SIMILAR_NAME","100","immersiveengineering:blueprint","mca:blueprint","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","raw_silver","SIMILAR_NAME","100","immersiveengineering:raw_silver","occultism:raw_silver","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: c:raw_materials, c:raw_materials/silver, enchanted:witch_oven_blacklist, malum:prospectors_treasure, malum:void_soulstone_material, werewolves:type/silver"
"item","raw_silver","SIMILAR_NAME","100","immersiveengineering:raw_silver","werewolves:raw_silver","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: c:raw_materials, c:raw_materials/silver, enchanted:witch_oven_blacklist, malum:prospectors_treasure, malum:void_soulstone_material, werewolves:type/silver"
"item","screwdriver","SIMILAR_NAME","100","immersiveengineering:screwdriver","kaleidoscope_tavern:screwdriver","MEDIUM","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","blood_bucket","SIMILAR_NAME","100","kaleidoscope_bloodwine:blood_bucket","vampirism:blood_bucket","MEDIUM","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","black_bar_stool","SIMILAR_NAME","100","kaleidoscope_tavern:black_bar_stool","vampiresdelight:black_bar_stool","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","blue_bar_stool","SIMILAR_NAME","100","kaleidoscope_tavern:blue_bar_stool","vampiresdelight:blue_bar_stool","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","brown_bar_stool","SIMILAR_NAME","100","kaleidoscope_tavern:brown_bar_stool","vampiresdelight:brown_bar_stool","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","cyan_bar_stool","SIMILAR_NAME","100","kaleidoscope_tavern:cyan_bar_stool","vampiresdelight:cyan_bar_stool","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","gray_bar_stool","SIMILAR_NAME","100","kaleidoscope_tavern:gray_bar_stool","vampiresdelight:gray_bar_stool","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","green_bar_stool","SIMILAR_NAME","100","kaleidoscope_tavern:green_bar_stool","vampiresdelight:green_bar_stool","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","light_blue_bar_stool","SIMILAR_NAME","100","kaleidoscope_tavern:light_blue_bar_stool","vampiresdelight:light_blue_bar_stool","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","light_gray_bar_stool","SIMILAR_NAME","100","kaleidoscope_tavern:light_gray_bar_stool","vampiresdelight:light_gray_bar_stool","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","lime_bar_stool","SIMILAR_NAME","100","kaleidoscope_tavern:lime_bar_stool","vampiresdelight:lime_bar_stool","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","magenta_bar_stool","SIMILAR_NAME","100","kaleidoscope_tavern:magenta_bar_stool","vampiresdelight:magenta_bar_stool","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","orange_bar_stool","SIMILAR_NAME","100","kaleidoscope_tavern:orange_bar_stool","vampiresdelight:orange_bar_stool","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","pink_bar_stool","SIMILAR_NAME","100","kaleidoscope_tavern:pink_bar_stool","vampiresdelight:pink_bar_stool","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","purple_bar_stool","SIMILAR_NAME","100","kaleidoscope_tavern:purple_bar_stool","vampiresdelight:purple_bar_stool","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","red_bar_stool","SIMILAR_NAME","100","kaleidoscope_tavern:red_bar_stool","vampiresdelight:red_bar_stool","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","white_bar_stool","SIMILAR_NAME","100","kaleidoscope_tavern:white_bar_stool","vampiresdelight:white_bar_stool","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","yellow_bar_stool","SIMILAR_NAME","100","kaleidoscope_tavern:yellow_bar_stool","vampiresdelight:yellow_bar_stool","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","raw_silver","SIMILAR_NAME","100","occultism:raw_silver","werewolves:raw_silver","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: almostunified:hide, c:raw_materials, c:raw_materials/silver, enchanted:witch_oven_blacklist, malum:prospectors_treasure, malum:void_soulstone_material"
"item","raw_silver_block","SIMILAR_NAME","100","occultism:raw_silver_block","werewolves:raw_silver_block","MEDIUM","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: almostunified:hide, c:storage_blocks, c:storage_blocks/raw_silver, malum:prospectors_treasure, werewolves:type/silver"
"item","silver_block","SIMILAR_NAME","100","occultism:silver_block","werewolves:silver_block","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: almostunified:hide, c:storage_blocks, c:storage_blocks/silver, malum:prospectors_treasure, werewolves:type/silver"
"item","silver_ingot","SIMILAR_NAME","100","occultism:silver_ingot","werewolves:silver_ingot","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: almostunified:hide, c:ingots, c:ingots/silver, malum:prospectors_treasure, werewolves:type/silver"
"item","silver_nugget","SIMILAR_NAME","100","occultism:silver_nugget","werewolves:silver_nugget","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: almostunified:hide, c:nuggets, c:nuggets/silver, malum:prospectors_treasure, werewolves:type/silver"
"item","silver_ore","SIMILAR_NAME","100","occultism:silver_ore","werewolves:silver_ore","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization|shared tags: almostunified:hide, c:ores, c:ores/silver, enchanted:witch_oven_blacklist, malum:prospectors_treasure"
"item","spirit_lantern","SIMILAR_NAME","100","occultism:spirit_lantern","vampiresdelight:spirit_lantern","MEDIUM","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity|same normalized registry path|same path tokens in different order/separators|same semantic base after harmless plant-part suffix normalization"
"item","mandrake","SHARED_CONCEPT_VARIANTS","90","enchanted:mandrake_root","feywild:mandrake","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","same semantic base after harmless plant-part suffix normalization"
"item","mandrake","SHARED_CONCEPT_VARIANTS","90","enchanted:mandrake_seeds","feywild:mandrake","MEDIUM","COMPARE_IMPLEMENTATIONS_AND_CHOOSE_CANONICAL_IF_EQUIVALENT","UNDECIDED","UNKNOWN_NOT_SCANNED","same semantic base after harmless plant-part suffix normalization"
"item","mandrake","SHARED_CONCEPT_VARIANTS","90","enchanted:mandrake_seeds","feywild:mandrake_root","MEDIUM","COMPARE_IMPLEMENTATIONS_AND_CHOOSE_CANONICAL_IF_EQUIVALENT","UNDECIDED","UNKNOWN_NOT_SCANNED","same semantic base after harmless plant-part suffix normalization"
"item","wolfsbane","SHARED_CONCEPT_VARIANTS","90","enchanted:wolfsbane_flower","werewolves:wolfsbane","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","same semantic base after harmless plant-part suffix normalization"
"item","wolfsbane","SHARED_CONCEPT_VARIANTS","90","enchanted:wolfsbane_seeds","werewolves:wolfsbane","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","same semantic base after harmless plant-part suffix normalization"
"item","","SIMILAR_NAME","90","mythsandlegends:tombstone","vampirism:tombstone1","MEDIUM","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity"
"item","","SIMILAR_NAME","90","mythsandlegends:tombstone","vampirism:tombstone2","MEDIUM","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity"
"item","","SIMILAR_NAME","90","mythsandlegends:tombstone","vampirism:tombstone3","MEDIUM","MANUAL_REVIEW","UNDECIDED","UNKNOWN_NOT_SCANNED","high registry-path string similarity"
"item","ingot","SIMILAR_NAME","88","eidolon_repraised:lead_ingot","immersiveengineering:ingot_lead","HIGH","SOURCE_API_AUDIT_BEFORE_CANONICALIZATION","UNDECIDED","UNKNOWN_NOT_SCANNED","same path tokens in different order/separators|shared tags: c:ingots, c:ingots/lead, malum:prospectors_treasure"
